"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Keith, Colt","690993","111","8.8",38.7,"109.6","87.6","99.5","94.9","79.4","450","168","412","42",37.8,"10",9,5.9
"Urías, Luis","649966","111","11.8",30.6,"106.8","87.5","97.6","92.6","84.4","398","157","377","36",32.4,"6",5.4,3.9
"Simpson, Chandler","802415","111","1",30.6,"107.6","83.4","92.5","85","83.1","351","111",,"17",15.3,"0",0,0
"Moniak, Mickey","666160","111","14.8",33.3,"110.3","90.1","101.2","93.5","86.1","429","179","404","53",47.7,"10",9,6.2
"Wade Jr., LaMonte","664774","110","23.9",34.5,"107.6","89.1","97.7","91.7","86.8","388","196","364","33",30,"5",4.5,3
"Crews, Dylan","686611","110","7.7",30,"111.1","90.1","101.3","95.4","86.7","429","158","404","45",40.9,"16",14.5,9.2
"Adell, Jo","666176","109","11.2",29.4,"112.2","90.2","102.6","93.6","89","435","154","410","50",45.9,"12",11,7.5
"Buxton, Byron","621439","109","15.1",33,"112.5","91.3","103.4","97.1","86.7","446","178","403","59",54.1,"17",15.6,9.5
"Narváez, Carlos","665966","108","12.5",29.6,"110.8","91.7","103.1","94.5","90.5","410","157","373","47",43.5,"15",13.9,9.3
"Taveras, Leody","665750","108","20.6",28.7,"111.2","88.2","99","91.7","88.7","398","168","393","37",34.3,"7",6.5,4.5
"Domínguez, Jasson","691176","107","14.4",32.7,"112.1","90.4","102.1","93.9","90.3","445","172","406","56",52.3,"10",9.3,5.4
"Toglia, Michael","669911","107","16.4",36.4,"109.6","89.4","100.7","93.6","84.3","457","187","422","43",40.2,"11",10.3,5.3
"Thomas, Alek","677950","107","3",28,"109.4","91.8","100.8","95.3","89.5","417","132","378","44",41.1,"8",7.5,5.2
"Conforto, Michael","624424","106","12.5",34.9,"112.9","90.8","101.1","93.1","88.8","419","168","407","49",46.2,"12",11.3,6.2
"Bart, Joey","663698","106","10.4",37.7,"111","89","101.8","95.3","83.7","411","161","411","48",45.3,"11",10.4,6.5
"Meidroth, Chase","805367","106","9",22.6,"107.1","88.4","98.1","90.8","88.2","368","118","368","42",39.6,"1",0.9,0.7
"Misner, Kameron","670224","103","13.6",30.1,"109.7","87.4","98.7","92.8","81.8","431","161","389","33",32,"7",6.8,4.1
